,endTime,artistName,trackName,msPlayed
0,2020-09-30 15:13,BØRNS,Electric Love,172384
1,2020-09-30 15:13,blackbear,hot girl bummer,4249
2,2020-09-30 15:14,Counting Crows,Mr. Jones,6269
3,2020-09-30 15:14,Dwayne Johnson,You're Welcome,1834
4,2020-09-30 15:14,Jimmy Eat World,The Middle,2229
5,2020-09-30 15:14,Jemaine Clement,Shiny,7267
6,2020-09-30 15:14,Tommy James & The Shondells,I Think We're Alone Now - Single Version,3715
7,2020-09-30 15:14,KYLE,iSpy (feat. Lil Yachty),4202
8,2020-09-30 15:14,The Neighbourhood,Sweater Weather,3366
9,2020-09-30 15:15,Hugh Jackman,The Other Side,5108
10,2020-09-30 15:15,Semisonic,Closing Time,3181
11,2020-09-30 15:15,OutKast,Roses,37685
12,2020-09-30 15:15,"Earth, Wind & Fire",September,3575
13,2020-09-30 15:16,Beck,Loser,74025
14,2020-09-30 15:21,Hugh Jackman,The Greatest Show,4876
15,2020-09-30 15:21,Rage Against The Machine,Killing In The Name,313573
16,2020-09-30 15:21,Christopher Jackson,Cabinet Battle #2,7267
17,2020-09-30 15:27,DJ Jazzy Jeff & The Fresh Prince,The Fresh Prince of Bel-Air,6562
18,2020-09-30 15:27,Childish Gambino,Redbone,326933
19,2020-09-30 15:32,OutKast,Hey Ya! - Radio Mix,1300
20,2020-09-30 15:32,Murray Head,One Night in Bangkok,15540
21,2020-09-30 15:32,Electric Light Orchestra,Mr. Blue Sky,303373
22,2020-09-30 15:36,Childish Gambino,Bonfire,192946
23,2020-09-30 15:36,Childish Gambino,Bonfire,7661
24,2020-09-30 15:41,Toby Keith,Red Solo Cup,5494
25,2020-09-30 15:41,Childish Gambino,Redbone,326933
26,2020-09-30 15:42,The Killers,Mr. Brightside,8893
27,2020-09-30 15:42,The Charlie Daniels Band,The Devil Went Down to Georgia,905
28,2020-09-30 15:42,Electric Light Orchestra,Mr. Blue Sky,719
29,2020-09-30 15:42,"Earth, Wind & Fire",September,905
30,2020-09-30 15:42,Green Day,Basket Case,1184
31,2020-09-30 15:42,BØRNS,Electric Love,1021
32,2020-09-30 15:46,Counting Crows,Mr. Jones,272293
33,2020-09-30 15:48,Foster The People,Pumped Up Kicks,108716
34,2020-09-30 17:22,Sea of Thieves,We Shall Sail Together - Original Game Soundtrack,4880
35,2020-09-30 17:22,Sea of Thieves,Becalmed - Original Game Soundtrack,1250
36,2020-09-30 17:24,Sea of Thieves,We Shall Sail Together - Original Game Soundtrack,126464
37,2020-09-30 17:26,Sea of Thieves,Becalmed - Original Game Soundtrack,164833
38,2020-09-30 17:28,Sea of Thieves,Maiden Voyage - Original Game Soundtrack,92642
39,2020-09-30 17:29,Sea of Thieves,Bosun Bill,62870
40,2020-09-30 17:29,Hozier,"Wasteland, Baby!",1120
41,2020-09-30 17:29,Hozier,Run,2480
42,2020-09-30 17:29,Hozier,Nina Cried Power (feat. Mavis Staples),7170
43,2020-09-30 17:34,The Lumineers,Slow It Down,307000
44,2020-09-30 17:39,The Lumineers,Salt And The Sea,270892
45,2020-09-30 17:44,Hozier,From Eden,283466
46,2020-09-30 17:47,The Lumineers,Gale Song,193720
47,2020-09-30 17:51,Hozier,Foreigner's God,225226
48,2020-09-30 17:54,Hozier,Almost (Sweet Music),217480
49,2020-09-30 17:58,Hozier,Cherry Wine - Live,240146
50,2020-09-30 18:02,The Lumineers,Walls,199118
51,2020-09-30 18:06,Hozier,Take Me to Church,241693
52,2020-09-30 18:08,The Lumineers,Classy Girls,165933
53,2020-09-30 18:12,Hozier,Someone New,222813
54,2020-09-30 18:15,The Lumineers,Ho Hey,163133
55,2020-09-30 18:19,Hozier,Movement,237800
56,2020-09-30 18:22,The Lumineers,Sleep On The Floor,211851
57,2020-09-30 18:27,Hozier,Like Real People Do,143144
58,2020-09-30 18:28,Hozier,Like Real People Do,55141
59,2020-09-30 18:32,The Lumineers,Life In The City,231360
60,2020-09-30 18:35,The Lumineers,Ophelia,160097
61,2020-09-30 19:37,The Lumineers,It Wasn't Easy To Be Happy For You,214066
62,2020-09-30 19:37,Hozier,Nina Cried Power (feat. Mavis Staples),6626
63,2020-09-30 19:39,The Lumineers,Classy Girls,165933
64,2020-09-30 19:43,The Lumineers,Walls,199118
65,2020-09-30 19:46,The Lumineers,Walls,394
66,2020-09-30 19:46,Hozier,To Noise Making (Sing),88060
67,2020-09-30 19:46,The Lumineers,Classy Girls,603
68,2020-09-30 19:49,The Lumineers,Walls,199118
69,2020-09-30 19:53,Hozier,To Noise Making (Sing),206920
70,2020-09-30 19:57,The Lumineers,Stubborn Love,279000
71,2020-09-30 19:58,Hozier,From Eden,8806
72,2020-09-30 20:03,The Lumineers,Donna,1880
73,2020-09-30 20:03,The Lumineers,Ain't Nobody's Problem,296360
74,2020-09-30 20:03,The Lumineers,Left For Denver,1671
75,2020-09-30 20:03,Hozier,Work Song,766
76,2020-09-30 20:03,Hozier,Foreigner's God,3745
77,2020-09-30 20:05,The Lumineers,Flowers in Your Hair,109735
78,2020-09-30 20:08,Hozier,Movement,237800
79,2020-09-30 21:04,Hozier,Someone New,95290
80,2020-09-30 21:08,The Lumineers,Cleopatra,201413
81,2020-09-30 21:11,The Lumineers,Sleep On The Floor,211851
82,2020-09-30 21:14,The Lumineers,Ho Hey,163133
83,2020-09-30 21:18,Hozier,Take Me to Church,241693
84,2020-09-30 21:21,The Lumineers,Angela,201785
85,2020-09-30 21:25,The Lumineers,Gloria,216120
86,2020-09-30 21:31,The Lumineers,Leader Of The Landslide,354840
87,2020-09-30 21:37,Hozier,In the Woods Somewhere,331400
88,2020-09-30 21:42,Hozier,No Plan,331013
89,2020-09-30 21:46,The Lumineers,Dead Sea,234679
90,2020-10-01 00:37,Cardi B,WAP (feat. Megan Thee Stallion),73910
91,2020-10-01 00:38,3OH!3,COLORADOSUNRISE,57830
92,2020-10-01 00:41,The Lumineers,Walls,199118
93,2020-10-01 00:41,Hozier,Like Real People Do,940
94,2020-10-01 00:41,Hozier,Run,4981
95,2020-10-01 00:41,Hozier,No Plan,550
96,2020-10-01 00:46,The Lumineers,Ain't Nobody's Problem,296360
97,2020-10-01 00:49,The Lumineers,Angela,201785
98,2020-10-01 00:53,The Lumineers,Sleep On The Floor,211851
99,2020-10-01 00:55,The Lumineers,Flowers in Your Hair,109735
100,2020-10-01 00:56,Hozier,Nina Cried Power (feat. Mavis Staples),65427
101,2020-10-01 05:20,C418,Danny,254500
102,2020-10-01 05:25,C418,Mice On Venus,281500
103,2020-10-01 05:26,C418,Door,111437
104,2020-10-01 05:28,C418,Beginning,102100
105,2020-10-01 05:29,C418,Dry Hands,68500
106,2020-10-01 05:33,C418,Sweden,215500
107,2020-10-01 05:34,C418,Chris,87750
108,2020-10-01 05:37,C418,Thirteen,176500
109,2020-10-01 05:40,C418,Moog City,160000
110,2020-10-01 05:43,C418,Cat,186250
111,2020-10-01 05:45,C418,Wet Hands,90000
112,2020-10-01 05:46,C418,Oxygène,65125
