Activity ID,Activity Date,Temperature at Start,Activity Name,Activity Type,Activity Description,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Grade Adjusted Distance
4154714917,"Oct 5, 2020, 15:21:27",56,Good run. Still got that construction tho,Run,Pop,1382,1332,5193.899902,5.699999809,3.899324417,20.55772018,21.05772018,570.4000244,579.9000244,19,-0.009626677,5230.399902
4159119026,"Oct 6, 2020, 15:31:11",60,Nice,Run,Rap,1348,1318,5194.600098,5.300000191,3.941274643,20.62208748,20.72208786,570.4000244,579.9000244,17.39999962,-0.001925076,5229.200195
4163716176,"Oct 7, 2020, 15:21:07",60,Felt kinda sluggish today,Run,Folk,1367,1360,5229.700195,5.300000191,3.84536767,22.90727997,23.00728035,570.4000244,579.9000244,14.80000019,-0.001912156,5272.299805
4185799370,"Oct 12, 2020, 15:32:42",52,Ehh,Run,Rap,1317,1297,5094,5.099999905,3.927525043,23.13031578,23.13031578,570.4000244,579.9000244,14.39999962,0,5137.200195
4194403989,"Oct 14, 2020, 15:37:36",44,Nice,Run,Folk,1299,1296,5144.600098,5.300000191,3.96959877,23.10523796,22.80523872,570.4000244,579.9000244,15.19999981,0.005831357,5185.5
4198694603,"Oct 15, 2020, 15:41:38",40,Feelin good,Run,Pop,1274,1274,5143.299805,5.5,4.037127018,22.7421608,23.04220009,570.4000244,579.9000244,20.20000076,-0.005832831,5184.799805
4216329856,"Oct 19, 2020, 15:48:20",50,Cool cool cool,Run,Folk,1303,1287,5096,5.5,3.959595919,22.80136871,23.00136948,570.4000244,579.9000244,15.5,-0.003924647,5139.299805
4224815789,"Oct 21, 2020, 15:38:53",36,Bit chilly,Run,Pop,1299,1299,5145.799805,5.199999809,3.961354971,22.83397484,23.23397446,570.4000244,579.9000244,19.5,-0.00777333,5191.299805
4229170162,"Oct 22, 2020, 15:52:57",35,Chillier,Run,Rap,1256,1253,5115.799805,6.400000095,4.082841396,22.62608147,23.02608109,570.4000244,579.9000244,14,-0.007818914,5157.100098
4252206446,"Oct 27, 2020, 23:00:48",40,Icy,Run,Pop,1340,1273,5097.899902,5.5,4.004634857,23.53706741,23.53706741,570.5,579.9000244,14.60000038,0,5138.700195
4259000231,"Oct 29, 2020, 16:16:06",46,Less icy,Run,Rap,1268,1268,5105,6.099999905,4.026025295,22.85252762,23.65252686,570.5,579.9000244,14.89999962,-0.01567091,5142.200195
4267909458,"Oct 31, 2020, 17:31:45",44,Saturday Morning 🙈,Run,Folk,1321,1270,5092.299805,5.5,4.00968504,23.76941299,23.66941452,570.5,579.9000244,16.5,0.001963749,5130.100098
4276747955,"Nov 2, 2020, 17:03:17",38,Kinda tired,Run,Rap,1268,1268,5102.100098,5.300000191,4.023738384,23.80353546,23.70353508,570.5999756,579.9000244,17,0.001959977,5139.200195
4285918046,"Nov 4, 2020, 17:06:56",54,Right side cramps :/,Run,Folk,1293,1276,5097.200195,5.300000191,3.994670868,24.48406601,23.58406639,570.5,580.5999756,14.39999962,0.017656753,5137.600098
